COUNT(i.instance_type_id)	name	host
14	tiny1	os-compute05
5	small2	os-compute05
2	large2	os-compute05
1	tiny2	os-compute05
1	small1	os-compute05
10	tiny1	os-compute06
1	large3	os-compute06
1	large2	os-compute06
1	medium2	os-compute06
1	xlarge3	os-compute06
9	tiny1	os-compute07
2	small2	os-compute07
2	large3	os-compute07
2	medium1	os-compute07
1	small1	os-compute07
1	medium3	os-compute07
1	tiny2	os-compute07
19	tiny1	os-compute08
2	large3	os-compute08
1	small2	os-compute08
1	medium3	os-compute08
16	tiny1	os-compute10
3	medium3	os-compute10
2	small2	os-compute10
1	tiny2	os-compute10
1	small1	os-compute10
1	medium1	os-compute10
1	large3	os-compute10
12	tiny1	os-compute11
3	large3	os-compute11
2	medium1	os-compute11
1	small2	os-compute11
1	medium2	os-compute11
1	small1	os-compute11
11	tiny1	os-compute12
2	large3	os-compute12
2	tiny2	os-compute12
1	xlarge1	os-compute12
1	small2	os-compute12
17	tiny1	os-compute14
1	large2	os-compute14
1	small1	os-compute14
1	medium2	os-compute14
1	large3	os-compute14
1	xlarge1	os-compute14
12	tiny1	os-compute15
3	medium1	os-compute15
2	small1	os-compute15
1	small2	os-compute15
1	large2	os-compute15
1	xlarge2	os-compute15
1	medium2	os-compute15
6	tiny1	os-compute16
4	medium3	os-compute16
2	medium2	os-compute16
1	large3	os-compute16
1	medium1	os-compute16
22	tiny1	os-compute17
4	medium1	os-compute17
2	medium2	os-compute17
2	small2	os-compute17
1	small1	os-compute17
1	tiny2	os-compute17
1	large2	os-compute17
12	tiny1	os-compute18
2	large3	os-compute18
1	tiny2	os-compute18
1	medium2	os-compute18
1	medium1	os-compute18
1	medium3	os-compute18
13	tiny1	os-compute19
4	medium2	os-compute19
2	medium1	os-compute19
1	large2	os-compute19
1	xlarge1	os-compute19
1	small2	os-compute19
1	small1	os-compute19
9	tiny1	os-compute20
3	small1	os-compute20
2	medium3	os-compute20
2	large2	os-compute20
1	tiny2	os-compute20
1	medium1	os-compute20
