COUNT(i.instance_type_id)	memory_mb	vcpus	name	host
1	131072	16	xlarge3	NULL
14	4096	1	tiny1	os-compute05
5	16384	2	small2	os-compute05
2	49152	8	large2	os-compute05
1	8192	1	tiny2	os-compute05
1	8192	2	small1	os-compute05
10	4096	1	tiny1	os-compute06
1	65536	8	large3	os-compute06
1	49152	8	large2	os-compute06
1	16384	4	medium2	os-compute06
1	131072	16	xlarge3	os-compute06
9	4096	1	tiny1	os-compute07
2	16384	2	small2	os-compute07
2	65536	8	large3	os-compute07
2	8192	4	medium1	os-compute07
1	8192	2	small1	os-compute07
1	32768	4	medium3	os-compute07
1	8192	1	tiny2	os-compute07
19	4096	1	tiny1	os-compute08
2	65536	8	large3	os-compute08
1	16384	2	small2	os-compute08
1	32768	4	medium3	os-compute08
16	4096	1	tiny1	os-compute10
3	32768	4	medium3	os-compute10
2	16384	2	small2	os-compute10
1	8192	1	tiny2	os-compute10
1	8192	2	small1	os-compute10
1	8192	4	medium1	os-compute10
1	65536	8	large3	os-compute10
12	4096	1	tiny1	os-compute11
3	65536	8	large3	os-compute11
2	8192	4	medium1	os-compute11
1	16384	2	small2	os-compute11
1	16384	4	medium2	os-compute11
1	8192	2	small1	os-compute11
12	4096	1	tiny1	os-compute12
2	65536	8	large3	os-compute12
2	8192	1	tiny2	os-compute12
1	32768	16	xlarge1	os-compute12
17	4096	1	tiny1	os-compute14
1	49152	8	large2	os-compute14
1	8192	2	small1	os-compute14
1	16384	4	medium2	os-compute14
1	65536	8	large3	os-compute14
1	32768	16	xlarge1	os-compute14
12	4096	1	tiny1	os-compute15
3	8192	4	medium1	os-compute15
2	8192	2	small1	os-compute15
1	16384	2	small2	os-compute15
1	49152	8	large2	os-compute15
1	65536	16	xlarge2	os-compute15
1	16384	4	medium2	os-compute15
6	4096	1	tiny1	os-compute16
4	32768	4	medium3	os-compute16
2	16384	4	medium2	os-compute16
1	65536	8	large3	os-compute16
1	8192	4	medium1	os-compute16
22	4096	1	tiny1	os-compute17
4	8192	4	medium1	os-compute17
2	16384	4	medium2	os-compute17
2	16384	2	small2	os-compute17
1	8192	2	small1	os-compute17
1	8192	1	tiny2	os-compute17
1	49152	8	large2	os-compute17
12	4096	1	tiny1	os-compute18
2	65536	8	large3	os-compute18
1	8192	1	tiny2	os-compute18
1	16384	4	medium2	os-compute18
1	8192	4	medium1	os-compute18
1	32768	4	medium3	os-compute18
13	4096	1	tiny1	os-compute19
4	16384	4	medium2	os-compute19
2	8192	4	medium1	os-compute19
1	49152	8	large2	os-compute19
1	32768	16	xlarge1	os-compute19
1	16384	2	small2	os-compute19
1	8192	2	small1	os-compute19
9	4096	1	tiny1	os-compute20
3	8192	2	small1	os-compute20
2	32768	4	medium3	os-compute20
2	49152	8	large2	os-compute20
1	8192	1	tiny2	os-compute20
1	8192	4	medium1	os-compute20
